id,title,description,link,image_link,additional_image_link,price,sale_price,availability,condition,brand,item_group_id,product_type,google_product_category
91,Nutrecat Gourmet atun camaron Hum 85g,"Alimento completo 100% natural, elaborado sin subproductos animales, para gatitos destetados a partir de los 2 meses de edad y gatos adultos de todas las razas y tamaños. Nutrecat Gourmet, posee el más exquisito sabor y una textura de trocitos de Atún con Camarón o Pargo, que le aporta al gato todo lo que necesita para mantener su vitalidad. Su contenido calórico está balanceado para aportar una cantidad suficiente de energía a la vez que contribuye a que el gato mantenga su peso ideal. La fórmula fue diseñada para favorecer la salud del sistema urinario, dado que reduce la concentración de minerales que pueden favorecer la formación de cálculos urinarios. Posee una textura de trocitos de Atún con Camarón o Pargo, aportándole al gato adulto todo lo que necesita para mantener su vitalidad y brindándole al mismo tiempo, los nutrientes específicos necesarios para el mantenimiento y renovación de un manto saludable. Este producto viene en una presentación de 85g y es ideal para todas las razas y edades.",https://www.plazacampo.com/nutrecat-gourmet-atun-camaron-hum24x85g-1-jpg/p?skuId=91,https://b2csolla.vteximg.com.br/arquivos/ids/4381809-1000-1500/Nutrecat-Gourmet-atun-camaron-Hum-85g.jpg?v=639222374342100000,https://b2csolla.vteximg.com.br/arquivos/ids/4381985-1000-1500/Nutrecat-Gourmet-atun-camaron-Hum-85g.jpg?v=639222374343800000,5400 COP,,in stock,new,Nutrecat,91,Gatos > Nutrecat > Alimento húmedo,Animals & Pet Supplies > Pet Supplies > Cat Supplies
90,Nutrecat Gourmet atun y pargo Hum 85g,"Alimento completo 100% natural, elaborado sin subproductos animales, para gatitos destetados a partir de los 2 meses de edad y gatos adultos de todas las razas y tamaños. Nutrecat Gourmet, posee el más exquisito sabor y una textura de trocitos de Atún con Camarón o Pargo, que le aporta al gato todo lo que necesita para mantener su vitalidad. Su contenido calórico está balanceado para aportar una cantidad suficiente de energía a la vez que contribuye a que el gato mantenga su peso ideal. La fórmula fue diseñada para favorecer la salud del sistema urinario, dado que reduce la concentración de minerales que pueden favorecer la formación de cálculos urinarios. Posee una textura de trocitos de Atún con Camarón o Pargo, aportándole al gato adulto todo lo que necesita para mantener su vitalidad y brindándole al mismo tiempo, los nutrientes específicos necesarios para el mantenimiento y renovación de un manto saludable. Este producto viene en una presentación de 85g y es ideal para todas las razas y edades.",https://www.plazacampo.com/nutrecat-gourmet-atun-y-pargo-hum-24x85g-1-jpg/p?skuId=90,https://b2csolla.vteximg.com.br/arquivos/ids/4381806-1000-1500/Nutrecat-Gourmet-atun-y-pargo-Hum-85g.jpg?v=639123770850600000,https://b2csolla.vteximg.com.br/arquivos/ids/4381982-1000-1500/Nutrecat-Gourmet-atun-y-pargo-Hum-85g.jpg?v=639123851966630000,5400 COP,,in stock,new,Nutrecat,90,Gatos > Nutrecat > Alimento húmedo,Animals & Pet Supplies > Pet Supplies > Cat Supplies
36815,Lucky Cuidado Articular 8Kg,"Lucky Cuidado Articular es una fórmula avanzada diseñada para proteger, fortalecer y mantener saludables las articulaciones de tu mascota, especialmente en etapas adultas o con alta actividad física. Elaborado con salmón y huevo, fuentes naturales de proteínas de alto valor biológico que nutren los músculos y tendones, ayudando a conservar la fuerza y agilidad. Su contenido de triptófano contribuye a reducir el dolor articular y mejorar el bienestar general. Además, está enriquecido con colágeno hidrolizado, glucosamina y condroitina, ingredientes esenciales que preservan la estructura de las articulaciones, promueven la regeneración del cartílago y previenen el desgaste provocado por la edad o el ejercicio intenso. Con Lucky Cuidado Articular, cada paso de tu mascota será más fuerte, ágil y sin dolor. Porque su bienestar comienza desde adentro.",https://www.plazacampo.com/lucky-cuidado-articular-ext-8-kg-1/p?skuId=36815,https://b2csolla.vteximg.com.br/arquivos/ids/4379280-1000-1500/Lucky-Cuidado-Articular-8Kg.webp?v=639255937642900000,"https://b2csolla.vteximg.com.br/arquivos/ids/4379283-1000-1500/Lucky-Cuidado-Articular-8Kg.webp?v=639255937644800000,https://b2csolla.vteximg.com.br/arquivos/ids/4379284-1000-1500/Lucky-Cuidado-Articular-8Kg.webp?v=639255937646000000,https://b2csolla.vteximg.com.br/arquivos/ids/4379278-1000-1500/Lucky-Cuidado-Articular-8Kg.webp?v=639255937647400000",135200 COP,,in stock,new,Lucky Perros,346,Perros > Lucky Perros > Senior,Animals & Pet Supplies > Pet Supplies > Dog Supplies
36795,Lucky Hipoalergénico 2Kg,"Nutrición High Premium Natural para Piel Sensible y Digestión Delicada. Lucky Hipoalergénico es un alimento high premium de alta tolerancia, diseñado para gatos con alergias, piel sensible o intolerancias alimentarias, ofreciendo protección desde el interior con ingredientes altamente funcionales. Beneficios funcionales: Con hígado de pollo hidrolizado, proteína de absorción superior. Con algas y linaza, fuente natural de Omega 3. Única fuente de proteína, ideal para dietas de exclusión. Ayuda a disminuir la picazón, fortalecer la piel y mejorar el pelaje. Ideal para: gatos con sensibilidad cutánea, digestiva o alergias alimentarias.",https://www.plazacampo.com/lucky-hipoalergenico-ext-8x2kg-1/p?skuId=36795,https://b2csolla.vteximg.com.br/arquivos/ids/4380860-1000-1500/Lucky-Hipoalergenico-2Kg.jpg?v=639243756601400000,"https://b2csolla.vteximg.com.br/arquivos/ids/4380861-1000-1500/Lucky-Hipoalergenico-2Kg.jpg?v=639243756596030000,https://b2csolla.vteximg.com.br/arquivos/ids/4380859-1000-1500/Lucky-Hipoalergenico-2Kg.jpg?v=639243756598000000,https://b2csolla.vteximg.com.br/arquivos/ids/4380858-1000-1500/Lucky-Hipoalergenico-2Kg.jpg?v=639243756599700000",49600 COP,,in stock,new,Lucky Gatos,352,Gatos > Lucky Gatos > Hipoalergénico,Animals & Pet Supplies > Pet Supplies > Cat Supplies
36814,Lucky Cuidado Articular 2Kg,"Lucky Cuidado Articular es una fórmula avanzada diseñada para proteger, fortalecer y mantener saludables las articulaciones de tu mascota, especialmente en etapas adultas o con alta actividad física. Elaborado con salmón y huevo, fuentes naturales de proteínas de alto valor biológico que nutren los músculos y tendones, ayudando a conservar la fuerza y agilidad. Su contenido de triptófano contribuye a reducir el dolor articular y mejorar el bienestar general. Además, está enriquecido con colágeno hidrolizado, glucosamina y condroitina, ingredientes esenciales que preservan la estructura de las articulaciones, promueven la regeneración del cartílago y previenen el desgaste provocado por la edad o el ejercicio intenso. Con Lucky Cuidado Articular, cada paso de tu mascota será más fuerte, ágil y sin dolor. Porque su bienestar comienza desde adentro.",https://www.plazacampo.com/lucky-cuidado-articular-ext-2-kg-1/p?skuId=36814,https://b2csolla.vteximg.com.br/arquivos/ids/4379282-1000-1500/Lucky-Cuidado-Articular-2Kg.webp?v=639255937638470000,"https://b2csolla.vteximg.com.br/arquivos/ids/4379279-1000-1500/Lucky-Cuidado-Articular-2Kg.webp?v=639255937640300000,https://b2csolla.vteximg.com.br/arquivos/ids/4379281-1000-1500/Lucky-Cuidado-Articular-2Kg.webp?v=639255937643170000,https://b2csolla.vteximg.com.br/arquivos/ids/4379275-1000-1500/Lucky-Cuidado-Articular-2Kg.webp?v=639255937644700000",36800 COP,,in stock,new,Lucky Perros,345,Perros > Lucky Perros > Senior,Animals & Pet Supplies > Pet Supplies > Dog Supplies
36812,Lucky Control Peso 8Kg,"Lucky Control de Peso es un alimento premium formulado para ayudar a tu mascota a mantener un peso ideal sin sacrificar sabor ni nutrición. Su fórmula contiene un contenido reducido de grasa y calorías, ideal para perros con tendencia al sobrepeso o esterilizados. Enriquecido con L-carnitina, favorece la quema natural de grasa y su conversión en energía, mientras que su alto contenido de fibra ayuda a prolongar la sensación de saciedad y controlar el apetito. Además, su fuente de proteína de alta calidad proveniente del salmón contribuye a mantener una masa muscular firme y saludable, apoyando al mismo tiempo el control del peso corporal. Ideal para: mascotas que necesitan controlar su peso de forma saludable, manteniendo fuerza, energía y bienestar diario. Con Lucky Control de Peso, tu mascota disfruta de una alimentación balanceada, sabrosa y funcional para cuidar su figura y su salud.",https://www.plazacampo.com/lucky-control-peso-ext-8-kg-1/p?skuId=36812,https://b2csolla.vteximg.com.br/arquivos/ids/4379128-1000-1500/Lucky-Control-Peso-8Kg.webp?v=639258841615200000,"https://b2csolla.vteximg.com.br/arquivos/ids/4382277-1000-1500/Lucky-Control-Peso-8Kg.webp?v=639259309561000000,https://b2csolla.vteximg.com.br/arquivos/ids/4379129-1000-1500/Lucky-Control-Peso-8Kg.webp?v=639259309562300000,https://b2csolla.vteximg.com.br/arquivos/ids/4379127-1000-1500/Lucky-Control-Peso-8Kg.webp?v=639259309565130000",123500 COP,,in stock,new,Lucky Perros,343,Perros > Lucky Perros > Adultos,Animals & Pet Supplies > Pet Supplies > Dog Supplies
36808,Lucky Cuidado Digestivo 2Kg,"Lucky Digestive Care ofrece una nutrición avanzada diseñada para mantener una digestión equilibrada y un sistema intestinal saludable. Su fórmula combina una mezcla de probióticos y prebióticos que fortalecen la flora intestinal y mejoran la absorción de nutrientes, promoviendo el bienestar digestivo desde adentro. Enriquecido con fibra natural, salmón e hígado hidrolizado, este alimento garantiza una digestibilidad superior, una fácil asimilación y un sabor irresistible que tu mascota amará. Además, ayuda a controlar alteraciones digestivas de origen inmunológico (alergias alimentarias) o no inmunológico (intolerancias), reduciendo la inflamación del tracto gastrointestinal y los síntomas asociados. Ideal para: perros y gatos con digestión sensible o con antecedentes de problemas gastrointestinales, que necesitan una alimentación completa, equilibrada y de alta calidad.",https://www.plazacampo.com/lucky-cuidado-digestivo-ext-2-kg-1/p?skuId=36808,https://b2csolla.vteximg.com.br/arquivos/ids/4379350-1000-1500/Lucky-Cuidado-Digestivo-2Kg.webp?v=639255937615000000,"https://b2csolla.vteximg.com.br/arquivos/ids/4379349-1000-1500/Lucky-Cuidado-Digestivo-2Kg.webp?v=639255937616700000,https://b2csolla.vteximg.com.br/arquivos/ids/4379347-1000-1500/Lucky-Cuidado-Digestivo-2Kg.webp?v=639255937618600000,https://b2csolla.vteximg.com.br/arquivos/ids/4379348-1000-1500/Lucky-Cuidado-Digestivo-2Kg.webp?v=639255937619800000",37700 COP,,in stock,new,Lucky Perros,341,Perros > Lucky Perros > Adultos,Animals & Pet Supplies > Pet Supplies > Dog Supplies
36806,Lucky Cuidado Piel 8Kg,"Lucky Cuidado de la Piel es un alimento hipoalergénico especialmente formulado para perros y gatos con piel sensible o alergias alimentarias. Su fórmula contiene proteína 100% hidrolizada, una fuente pura de proteína hipoalergénica que reduce las reacciones adversas y mejora la digestión. Además, es libre de gluten (Gluten Free) y está enriquecido con biotina, que fortalece el pelaje, previene la caída del pelo y favorece una piel más sana, hidratada y brillante. Ideal para: perros y gatos que requieren una alimentación segura, digestiva y nutritiva, con el propósito de cuidar su piel, su pelaje y su bienestar diario.",https://www.plazacampo.com/lucky-cuidado-piel-ext-8-kg-1/p?skuId=36806,https://b2csolla.vteximg.com.br/arquivos/ids/4382267-1000-1500/Lucky-Cuidado-Piel-8Kg.webp?v=639256249975200000,"https://b2csolla.vteximg.com.br/arquivos/ids/4382269-1000-1500/Lucky-Cuidado-Piel-8Kg.webp?v=639256249965230000,https://b2csolla.vteximg.com.br/arquivos/ids/4379343-1000-1500/Lucky-Cuidado-Piel-8Kg.webp?v=639256249967300000,https://b2csolla.vteximg.com.br/arquivos/ids/4379345-1000-1500/Lucky-Cuidado-Piel-8Kg.webp?v=639256249968730000",131500 COP,,in stock,new,Lucky Perros,340,Perros > Lucky Perros > Adultos,Animals & Pet Supplies > Pet Supplies > Dog Supplies
40025,Trocitos de Carne Brangus,"El snack high premium para tu perro con proteína proveniente de carne Brangus. Es un snack altamente nutritivo y adecuado para perros de todas las razas y etapas de vida. Con ingredientes naturales y sin saborizantes artificiales. Contiene probióticos que mejoran la salud intestinal de tu perro. Bajo en grasas lo que lo convierte en una opción equilibrada para mantener un peso adecuado en perros. Con carne Brangus, el sabor y el olor que les encanta para premiar y consentir a tu perro.",https://www.plazacampo.com/trocitos-de-carne-brangus-1/p?skuId=40025,https://b2csolla.vteximg.com.br/arquivos/ids/4380124-1000-1500/Trocitos-de-Carne-Brangus.jpg?v=639227557035630000,"https://b2csolla.vteximg.com.br/arquivos/ids/4380123-1000-1500/Trocitos-de-Carne-Brangus.jpg?v=639227652091100000,https://b2csolla.vteximg.com.br/arquivos/ids/4380125-1000-1500/Trocitos-de-Carne-Brangus.jpg?v=639227652092670000,https://b2csolla.vteximg.com.br/arquivos/ids/4380121-1000-1500/Trocitos-de-Carne-Brangus.jpg?v=639227652095170000",12200 COP,,in stock,new,Lucky Perros,294,Perros > Lucky Perros > Snacks,Animals & Pet Supplies > Pet Supplies > Dog Supplies
40080,Camiseta Polo Blanca Solla Hombre,"Esta camiseta tipo polo marca Solla. Está hecha en tela piqué, reconocida por su textura fresca, su resistencia y su comodidad durante todo el día. Su diseño incorpora el logo bordado de Solla al frente, un detalle que le da identidad sin perder sobriedad.",https://www.plazacampo.com/camiseta-polo-blanca-solla-hombre-1/p?skuId=40080,https://b2csolla.vteximg.com.br/arquivos/ids/4379199-1000-1500/Camiseta-Polo-Blanca-Solla-Hombre.jpg?v=639117145106430000,https://b2csolla.vteximg.com.br/arquivos/ids/4379197-1000-1500/Camiseta-Polo-Blanca-Solla-Hombre.jpg?v=639117145104400000,80580 COP,,in stock,new,Solla,284,Moda Solla > Camisetas y Polos > Polo Hombre,Apparel & Accessories > Clothing
